iter	Logloss
0	0.6468980149
1	0.6156356684
2	0.5829128159
3	0.5563226435
4	0.5319338901
5	0.5123962264
6	0.496943184
7	0.482115184
8	0.4675926196
9	0.4574380062
10	0.4465101843
11	0.4373630116
12	0.4283515598
13	0.4213066272
14	0.4135657739
15	0.4061838274
16	0.4018110296
17	0.3971582728
18	0.3927410937
19	0.3876743464
20	0.3843747008
21	0.3807045307
22	0.3786112688
23	0.3752248359
24	0.3720656246
25	0.3686099851
26	0.3659767692
27	0.3638333847
28	0.3614827334
29	0.3597711262
30	0.358083372
31	0.3559821843
32	0.3547358612
33	0.3530238443
34	0.350461878
35	0.3490031169
36	0.3467658656
37	0.3453244879
38	0.3442207086
39	0.3431861805
40	0.3411590031
41	0.3397871987
42	0.3379872248
43	0.3372003239
44	0.3355064148
45	0.334050342
46	0.333416112
47	0.3320184889
48	0.3314894135
49	0.3299412369
50	0.3289356179
51	0.3274330591
52	0.3267122735
53	0.3255946786
54	0.3245980715
55	0.3234014128
56	0.3231482149
57	0.3222478432
58	0.3213005276
59	0.320265948
60	0.3191285072
61	0.3180888137
62	0.3172070067
63	0.3155570259
64	0.314396544
65	0.3135306694
66	0.3128847127
67	0.3120631449
68	0.3116359235
69	0.3107562154
70	0.3094706219
71	0.3088321858
72	0.307322046
73	0.3066268934
74	0.3061104348
75	0.3049892941
76	0.3047841499
77	0.3042979555
78	0.3035196313
79	0.3030108583
80	0.3022103085
81	0.3014505697
82	0.3003698384
83	0.299191195
84	0.2985564395
85	0.2980761537
86	0.2977998403
87	0.2967264087
88	0.2960644983
89	0.2949355597
