iter	Passed	Remaining
0	1	144
1	3	134
2	4	143
3	6	138
4	7	133
5	9	128
6	10	126
7	12	123
8	13	121
9	14	116
10	15	114
11	17	112
12	18	111
13	20	110
14	21	108
15	23	106
16	24	105
17	26	104
18	27	102
19	28	101
20	30	99
21	31	98
22	33	96
23	34	95
24	35	93
25	37	91
26	38	90
27	40	88
28	41	87
29	42	85
30	44	84
31	45	82
32	47	81
33	48	79
34	49	78
35	51	76
36	52	75
37	54	74
38	55	72
39	56	71
40	58	69
41	59	68
42	61	66
43	62	65
44	63	63
45	65	62
46	66	61
47	68	59
48	69	58
49	70	56
50	72	55
51	73	53
52	75	52
53	76	51
54	77	49
55	79	48
56	80	46
57	82	45
58	83	43
59	84	42
60	86	40
61	87	39
62	88	38
63	90	36
64	91	35
65	93	33
66	94	32
67	96	31
68	97	29
69	98	28
70	100	26
71	101	25
72	103	24
73	104	22
74	106	21
75	107	19
76	109	18
77	110	17
78	111	15
79	113	14
80	114	12
81	115	11
82	117	9
83	118	8
84	120	7
85	121	5
86	122	4
87	124	2
88	125	1
89	127	0
